seed,feature_group,epoch,loss,validation_loss,origin_month
17,full,1,0.10728125274181366,0.07874008268117905,2023-07-01
17,full,2,0.06723721325397491,0.058790575712919235,2023-07-01
17,full,3,0.053345806896686554,0.053195446729660034,2023-07-01
17,full,4,0.04758400842547417,0.050447653979063034,2023-07-01
17,full,5,0.044789984822273254,0.05066005885601044,2023-07-01
17,full,6,0.04214361682534218,0.049357879906892776,2023-07-01
17,full,7,0.04024837166070938,0.04669595882296562,2023-07-01
17,full,8,0.039557117968797684,0.04698912799358368,2023-07-01
17,full,9,0.038351647555828094,0.0471017062664032,2023-07-01
17,full,10,0.036909233778715134,0.04497969150543213,2023-07-01
17,full,11,0.036493003368377686,0.045771267265081406,2023-07-01
17,full,12,0.0364304780960083,0.044999003410339355,2023-07-01
17,full,13,0.03519951179623604,0.04438358172774315,2023-07-01
17,full,14,0.03520670905709267,0.044671181589365005,2023-07-01
17,full,15,0.03443610295653343,0.04319820925593376,2023-07-01
17,full,16,0.033407486975193024,0.04107585549354553,2023-07-01
17,full,17,0.032903023064136505,0.04127304628491402,2023-07-01
17,full,18,0.032891009002923965,0.03999297320842743,2023-07-01
17,full,19,0.032369550317525864,0.039997395128011703,2023-07-01
17,full,20,0.031826671212911606,0.03896552696824074,2023-07-01
17,full,21,0.03145290166139603,0.03939250856637955,2023-07-01
17,full,22,0.03121711127460003,0.0378766693174839,2023-07-01
17,full,23,0.031177012249827385,0.03812402859330177,2023-07-01
17,full,24,0.0306685883551836,0.03695448115468025,2023-07-01
17,full,25,0.031013140454888344,0.03732983395457268,2023-07-01
17,full,26,0.031084533780813217,0.03764243423938751,2023-07-01
17,full,27,0.029817020520567894,0.03827732801437378,2023-07-01
17,full,28,0.030095981433987617,0.04073018953204155,2023-07-01
17,full,29,0.029485367238521576,0.040538910776376724,2023-07-01
17,full,30,0.02871382050216198,0.03901773318648338,2023-07-01
17,full,31,0.029105620458722115,0.03700537607073784,2023-07-01
17,full,32,0.02807415835559368,0.036388661712408066,2023-07-01
17,full,33,0.028430135920643806,0.03628923371434212,2023-07-01
17,full,34,0.027159301564097404,0.037612948566675186,2023-07-01
17,full,35,0.027657104656100273,0.036671996116638184,2023-07-01
17,full,36,0.02662465162575245,0.03603285923600197,2023-07-01
17,full,37,0.027072696015238762,0.0362524650990963,2023-07-01
17,full,38,0.026720872148871422,0.03744561970233917,2023-07-01
17,full,39,0.02643774263560772,0.03665589913725853,2023-07-01
17,full,40,0.025716135278344154,0.036532212048769,2023-07-01
17,full,41,0.02556266263127327,0.036634575575590134,2023-07-01
17,full,42,0.02539467066526413,0.03814791142940521,2023-07-01
17,full,43,0.025138812139630318,0.037336625158786774,2023-07-01
17,full,44,0.02537490800023079,0.037688713520765305,2023-07-01
17,full,45,0.024964293465018272,0.03609325364232063,2023-07-01
17,full,46,0.024710239842534065,0.036114972084760666,2023-07-01
17,full,47,0.024895496666431427,0.03633943572640419,2023-07-01
17,full,48,0.024717804044485092,0.03772361949086189,2023-07-01
42,full,1,0.11589040607213974,0.07892609387636185,2023-07-01
42,full,2,0.07233011722564697,0.06710761785507202,2023-07-01
42,full,3,0.05651741847395897,0.05410259962081909,2023-07-01
42,full,4,0.04898591339588165,0.0515299029648304,2023-07-01
42,full,5,0.04567878320813179,0.05193747207522392,2023-07-01
42,full,6,0.043043751269578934,0.04970993101596832,2023-07-01
42,full,7,0.041164807975292206,0.047911256551742554,2023-07-01
42,full,8,0.040908243507146835,0.046584438532590866,2023-07-01
42,full,9,0.04014803469181061,0.04825868085026741,2023-07-01
42,full,10,0.03758050501346588,0.05035775899887085,2023-07-01
42,full,11,0.037130776792764664,0.0505187027156353,2023-07-01
42,full,12,0.036819927394390106,0.049654945731163025,2023-07-01
42,full,13,0.036138590425252914,0.04846445843577385,2023-07-01
42,full,14,0.03473299369215965,0.05055058002471924,2023-07-01
42,full,15,0.03520479425787926,0.051536332815885544,2023-07-01
42,full,16,0.03472692891955376,0.05157070234417915,2023-07-01
42,full,17,0.03383846953511238,0.0494849868118763,2023-07-01
42,full,18,0.033075492829084396,0.0496838204562664,2023-07-01
42,full,19,0.033217351883649826,0.04942626133561134,2023-07-01
42,full,20,0.033224817365407944,0.046381283551454544,2023-07-01
42,full,21,0.03258282318711281,0.04413242265582085,2023-07-01
42,full,22,0.03249296173453331,0.04435758292675018,2023-07-01
42,full,23,0.032738491892814636,0.04608932510018349,2023-07-01
42,full,24,0.031339969485998154,0.04553937539458275,2023-07-01
42,full,25,0.03073427826166153,0.0449802540242672,2023-07-01
42,full,26,0.030594173818826675,0.04634609818458557,2023-07-01
