feature_group,split,model_name,rows,series,WAPE,MAE,RMSE,Bias,under_forecast_rate,selection_score
time_only,ablation,CONV1D_ATTENTION_GLOBAL,960,80,0.1596129047524053,163.93927792594187,463.7676300310839,0.010038418701254865,0.6041666666666666,0.16463211410303275
cyclic,ablation,CONV1D_ATTENTION_GLOBAL,960,80,0.1768625096004632,181.65644038022535,514.0245088588817,0.10406641073688501,0.6625,0.2288957149689057
spectral,ablation,CONV1D_ATTENTION_GLOBAL,960,80,0.17035670644895481,174.97429476899754,494.3218424591999,0.10447934688447212,0.6739583333333333,0.22259637989119088
known_future,ablation,CONV1D_ATTENTION_GLOBAL,960,80,0.28152512385185746,289.15597766908854,913.3661972869929,0.26074056714177823,0.76875,0.41189540742274655
full,ablation,CONV1D_ATTENTION_GLOBAL,960,80,0.2092417879940352,214.91337237979945,652.0719538756929,0.18453256968188828,0.74375,0.3015080728349793
