model_name,nominal_coverage,empirical_coverage,coverage_ci_low,coverage_ci_high,average_interval_width,calibration_source
CONV1D_ATTENTION_GLOBAL,0.8,0.7725694444444444,0.7447916666666666,0.8008029513888889,718.9348971517497,pre-test rolling-origin residuals only
CROSTON_SBA,0.8,0.7838541666666666,0.7469401041666667,0.8177083333333333,773.6242343701699,pre-test rolling-origin residuals only
ETS_A_N_A,0.8,0.8012152777777778,0.7695095486111111,0.8294487847222222,845.6913607223229,pre-test rolling-origin residuals only
EXTRA_TREES,0.8,0.8151041666666666,0.7847222222222222,0.8450737847222222,595.7346457930123,pre-test rolling-origin residuals only
EXTRA_TREES_DAMPED_TREND,0.8,0.8029513888888888,0.7712456597222223,0.8337890625000001,638.4833500747084,pre-test rolling-origin residuals only
EXTRA_TREES_RESPONSIVE,0.8,0.8125,0.7842664930555554,0.8368055555555556,589.0223903835237,pre-test rolling-origin residuals only
LIGHTGBM,0.8,0.8012152777777778,0.7721137152777777,0.8246527777777778,604.0311753096855,pre-test rolling-origin residuals only
MOVING_AVERAGE_3,0.8,0.7673611111111112,0.7222222222222222,0.8042751736111111,941.3185676152285,pre-test rolling-origin residuals only
SEASONAL_NAIVE,0.8,0.8020833333333334,0.7743055555555555,0.8303168402777777,994.2184448970272,pre-test rolling-origin residuals only
