model_name,slice_dimension,slice_value,rows,WAPE,Bias
CONV1D_ATTENTION_GLOBAL,horizon,1,96,0.15676954321626227,0.034183783735984206
CONV1D_ATTENTION_GLOBAL,horizon,2,96,0.16123749830085563,0.08304450752925302
CONV1D_ATTENTION_GLOBAL,horizon,3,96,0.10721178426439978,0.025455275508110192
CONV1D_ATTENTION_GLOBAL,horizon,4,96,0.11462241547840701,0.10208197797774726
CONV1D_ATTENTION_GLOBAL,horizon,5,96,0.2284712488415578,-0.04172396961325784
CONV1D_ATTENTION_GLOBAL,horizon,6,96,0.13556621187524076,0.07304564697108341
CONV1D_ATTENTION_GLOBAL,horizon,7,96,0.15768479164986557,-0.06620459321460184
CONV1D_ATTENTION_GLOBAL,horizon,8,96,0.14425403917895302,0.07751989061256603
CONV1D_ATTENTION_GLOBAL,horizon,9,96,0.22201256214044882,-0.07601068591043364
CONV1D_ATTENTION_GLOBAL,horizon,10,96,0.13371732354030286,0.06028049322941311
CONV1D_ATTENTION_GLOBAL,horizon,11,96,0.11095031700876949,-0.052223325649930465
CONV1D_ATTENTION_GLOBAL,horizon,12,96,0.20812845986513737,0.10570754196194418
CROSTON_SBA,horizon,1,96,0.1656886596907937,0.07930338244329829
CROSTON_SBA,horizon,2,96,0.20084460885532346,0.11263813052308866
CROSTON_SBA,horizon,3,96,0.12572721644115423,0.07485393032084019
CROSTON_SBA,horizon,4,96,0.16819324927987422,0.16070691205925308
CROSTON_SBA,horizon,5,96,0.2540090219361514,0.012263096179614526
CROSTON_SBA,horizon,6,96,0.16074829951333808,0.09704581758169009
CROSTON_SBA,horizon,7,96,0.1708404961439604,0.010812007190516903
CROSTON_SBA,horizon,8,96,0.18053757591820518,0.13090146690661483
CROSTON_SBA,horizon,9,96,0.2755844734909,-0.04313268778800791
CROSTON_SBA,horizon,10,96,0.15805310054271832,0.11861437251070223
CROSTON_SBA,horizon,11,96,0.132247425952575,0.10197386322815545
CROSTON_SBA,horizon,12,96,0.30326773901548765,0.26461108922743215
ETS_A_N_A,horizon,1,96,0.1758939283074419,-0.03320895750634296
ETS_A_N_A,horizon,2,96,0.22102117184574882,0.029133104506002965
ETS_A_N_A,horizon,3,96,0.07947343763937367,-0.015003347140816338
ETS_A_N_A,horizon,4,96,0.12625670535369274,-0.008323576734676
ETS_A_N_A,horizon,5,96,0.23866066632503552,-0.048044235362220716
ETS_A_N_A,horizon,6,96,0.14345961155271847,0.029961117283626115
ETS_A_N_A,horizon,7,96,0.181574626200888,-0.052689965929158776
ETS_A_N_A,horizon,8,96,0.15312679920852945,0.04923013403959433
ETS_A_N_A,horizon,9,96,0.26365227043868983,-0.14355122363414152
ETS_A_N_A,horizon,10,96,0.09809770949190819,0.029829564388156298
ETS_A_N_A,horizon,11,96,0.0961211354326243,0.028943546605663707
ETS_A_N_A,horizon,12,96,0.16216686749785428,0.04745601370022211
EXTRA_TREES,horizon,1,96,0.10359020708254664,0.028641483260572424
EXTRA_TREES,horizon,2,96,0.15354487218133048,0.017388055262830222
EXTRA_TREES,horizon,3,96,0.08665559634186144,-0.020165756364690767
EXTRA_TREES,horizon,4,96,0.07816122529612017,-0.01692116013086798
EXTRA_TREES,horizon,5,96,0.2181742748517956,-0.10871330893567221
EXTRA_TREES,horizon,6,96,0.0911267307070625,0.01763399195311999
EXTRA_TREES,horizon,7,96,0.1013204768315907,-0.017485646424091155
EXTRA_TREES,horizon,8,96,0.10439614185257984,0.018145930482352326
EXTRA_TREES,horizon,9,96,0.23122438383373842,-0.18297212056356701
EXTRA_TREES,horizon,10,96,0.1259640039044345,-0.024866667580732763
EXTRA_TREES,horizon,11,96,0.09083890437208698,-0.057545037540469024
EXTRA_TREES,horizon,12,96,0.1433575595534043,0.048921848983289065
EXTRA_TREES_DAMPED_TREND,horizon,1,96,0.09322669637652538,0.024755465000236822
EXTRA_TREES_DAMPED_TREND,horizon,2,96,0.18574102507925846,0.007560502914409547
EXTRA_TREES_DAMPED_TREND,horizon,3,96,0.12999384618292711,-0.03410854362711344
EXTRA_TREES_DAMPED_TREND,horizon,4,96,0.07782931673593697,-0.017743551300559775
EXTRA_TREES_DAMPED_TREND,horizon,5,96,0.23198070767969067,-0.1400669727481203
EXTRA_TREES_DAMPED_TREND,horizon,6,96,0.11502558356350508,-0.0028416496204439093
EXTRA_TREES_DAMPED_TREND,horizon,7,96,0.12289947382305715,-0.02705803661904094
EXTRA_TREES_DAMPED_TREND,horizon,8,96,0.1275502338572626,0.02584438989636881
EXTRA_TREES_DAMPED_TREND,horizon,9,96,0.2166487283147655,-0.16233027860140659
EXTRA_TREES_DAMPED_TREND,horizon,10,96,0.1395424045381968,0.004540856118243869
EXTRA_TREES_DAMPED_TREND,horizon,11,96,0.10433087857222692,-0.039080966378051064
EXTRA_TREES_DAMPED_TREND,horizon,12,96,0.1620577663126815,0.07458976013865326
EXTRA_TREES_RESPONSIVE,horizon,1,96,0.10393312034401114,0.03772363852379271
EXTRA_TREES_RESPONSIVE,horizon,2,96,0.16227021991403312,0.022118066811532423
