seed,feature_group,epochs,best_validation_loss,WAPE,RMSE,origin_month
17,full,48,0.03603285923600197,1.2354530096054077,16918.400390625,2023-07-01
42,full,66,0.03960602357983589,0.6530954837799072,3954.907470703125,2023-07-01
101,full,72,0.03930521011352539,0.3464938998222351,1088.0758056640625,2023-07-01
303,full,43,0.03816595673561096,0.5866550803184509,3254.26806640625,2023-07-01
707,full,40,0.04017550125718117,0.4769097864627838,1171.38134765625,2023-07-01
17,full,50,0.03664744272828102,0.5007965564727783,2190.786376953125,2023-08-01
42,full,38,0.042853012681007385,0.6277087330818176,3611.128173828125,2023-08-01
101,full,51,0.03492244705557823,0.3391712009906769,986.4125366210938,2023-08-01
303,full,57,0.035339001566171646,0.5653541684150696,3251.574951171875,2023-08-01
707,full,41,0.03647813946008682,0.8771350383758545,7062.34521484375,2023-08-01
17,full,79,0.03742962330579758,0.5839439034461975,2939.097412109375,2023-09-01
42,full,75,0.03522652015089989,0.6447535753250122,7746.951171875,2023-09-01
101,full,79,0.034368399530649185,0.2653101980686188,858.9283447265625,2023-09-01
303,full,41,0.03387840464711189,0.6749080419540405,5731.23681640625,2023-09-01
707,full,49,0.036836177110672,1.1600381135940552,12373.4296875,2023-09-01
17,full,35,0.046803172677755356,0.5447537899017334,1568.1031494140625,2023-10-01
42,full,55,0.03483448922634125,0.31362465023994446,997.52587890625,2023-10-01
101,full,36,0.036834314465522766,0.8007420897483826,7953.498046875,2023-10-01
303,full,58,0.033658504486083984,0.3146560788154602,943.47216796875,2023-10-01
707,full,51,0.0403682179749012,0.41069865226745605,1455.4486083984375,2023-10-01
17,full,52,0.037070635706186295,0.31214770674705505,1133.25537109375,2023-11-01
42,full,54,0.03315136209130287,0.20493575930595398,586.336181640625,2023-11-01
101,full,75,0.034967076033353806,0.5101271271705627,1967.1605224609375,2023-11-01
303,full,51,0.033279214054346085,0.27341803908348083,790.2574462890625,2023-11-01
707,full,43,0.03690169006586075,0.3262596130371094,876.9827270507812,2023-11-01
17,full,37,0.0342136025428772,0.2812500596046448,816.4234619140625,2023-12-01
42,full,65,0.0315164253115654,0.26347070932388306,822.4554443359375,2023-12-01
101,full,53,0.0338585190474987,0.30135905742645264,920.113525390625,2023-12-01
303,full,53,0.03223276138305664,0.26464658975601196,886.119384765625,2023-12-01
707,full,37,0.03347501531243324,0.317099928855896,867.5180053710938,2023-12-01
17,full,53,0.03130720928311348,0.29447805881500244,914.1580200195312,2024-01-01
42,full,54,0.0307766105979681,0.2146517038345337,690.5939331054688,2024-01-01
101,full,36,0.03228887915611267,0.24164853990077972,738.671875,2024-01-01
303,full,48,0.031204374507069588,0.18057292699813843,491.0885009765625,2024-01-01
707,full,53,0.029700646176934242,0.2435493767261505,722.035888671875,2024-01-01
17,full,41,0.024440547451376915,0.19063317775726318,615.861083984375,2025-01-01
42,full,43,0.02564060501754284,0.17740096151828766,544.0332641601562,2025-01-01
101,full,50,0.025486962869763374,0.17226707935333252,529.5286865234375,2025-01-01
303,full,42,0.025988398119807243,0.1783050298690796,546.0261840820312,2025-01-01
707,full,30,0.02549717389047146,0.22477823495864868,725.9237060546875,2025-01-01
