lag_position,baseline_WAPE,occluded_WAPE,WAPE_increase,note
-24,0.22477823495864868,0.2252374291419983,0.0004591941833496094,"Single-seed lag occlusion; association, not causation."
-23,0.22477823495864868,0.22494041919708252,0.0001621842384338379,"Single-seed lag occlusion; association, not causation."
-22,0.22477823495864868,0.22412936389446259,-0.0006488710641860962,"Single-seed lag occlusion; association, not causation."
-21,0.22477823495864868,0.2249748855829239,0.00019665062427520752,"Single-seed lag occlusion; association, not causation."
-20,0.22477823495864868,0.2247576117515564,-2.0623207092285156e-05,"Single-seed lag occlusion; association, not causation."
-19,0.22477823495864868,0.22472557425498962,-5.266070365905762e-05,"Single-seed lag occlusion; association, not causation."
-18,0.22477823495864868,0.2248888611793518,0.000110626220703125,"Single-seed lag occlusion; association, not causation."
-17,0.22477823495864868,0.22498857975006104,0.00021034479141235352,"Single-seed lag occlusion; association, not causation."
-16,0.22477823495864868,0.2247852385044098,7.0035457611083984e-06,"Single-seed lag occlusion; association, not causation."
-15,0.22477823495864868,0.22472330927848816,-5.492568016052246e-05,"Single-seed lag occlusion; association, not causation."
-14,0.22477823495864868,0.22468112409114838,-9.711086750030518e-05,"Single-seed lag occlusion; association, not causation."
-13,0.22477823495864868,0.2245320826768875,-0.00024615228176116943,"Single-seed lag occlusion; association, not causation."
-12,0.22477823495864868,0.2252381592988968,0.0004599243402481079,"Single-seed lag occlusion; association, not causation."
-11,0.22477823495864868,0.22510428726673126,0.00032605230808258057,"Single-seed lag occlusion; association, not causation."
-10,0.22477823495864868,0.22516682744026184,0.0003885924816131592,"Single-seed lag occlusion; association, not causation."
-9,0.22477823495864868,0.22533045709133148,0.0005522221326828003,"Single-seed lag occlusion; association, not causation."
-8,0.22477823495864868,0.22469979524612427,-7.843971252441406e-05,"Single-seed lag occlusion; association, not causation."
-7,0.22477823495864868,0.22484883666038513,7.06017017364502e-05,"Single-seed lag occlusion; association, not causation."
-6,0.22477823495864868,0.2250664085149765,0.0002881735563278198,"Single-seed lag occlusion; association, not causation."
-5,0.22477823495864868,0.22527755796909332,0.0004993230104446411,"Single-seed lag occlusion; association, not causation."
-4,0.22477823495864868,0.22568082809448242,0.0009025931358337402,"Single-seed lag occlusion; association, not causation."
-3,0.22477823495864868,0.22469376027584076,-8.447468280792236e-05,"Single-seed lag occlusion; association, not causation."
-2,0.22477823495864868,0.22481119632720947,3.2961368560791016e-05,"Single-seed lag occlusion; association, not causation."
-1,0.22477823495864868,0.22485268115997314,7.444620132446289e-05,"Single-seed lag occlusion; association, not causation."
