split,model_name,rows,series,WAPE,MAE,RMSE,Bias,under_forecast_rate,selection_score,population
selection,EXTRA_TREES,6720,80,0.11393891394570094,114.94414465971045,327.29710899476476,0.0625783025946727,0.6044642857142857,0.14522806524303727,RM_PM_PRIMARY
selection,EXTRA_TREES_RESPONSIVE,6720,80,0.11448048256076453,115.49049128596226,328.57780275011714,0.06203604078175909,0.5974702380952381,0.14549850295164407,RM_PM_PRIMARY
selection,EXTRA_TREES_DAMPED_TREND,6720,80,0.12214737289495617,123.22502307273562,339.76246780602304,0.053979246246661915,0.5802083333333333,0.14913699601828712,RM_PM_PRIMARY
selection,LIGHTGBM,6720,80,0.13389594070750419,135.07724310384373,383.6881061731696,0.07258554799846365,0.6214285714285714,0.17018871470673602,RM_PM_PRIMARY
selection,MOVING_AVERAGE_3,6720,80,0.13477539127626337,135.9644526611043,347.657794360616,0.07273116641621946,0.6486607142857143,0.1711409744843731,RM_PM_PRIMARY
selection,SEASONAL_NAIVE,6720,80,0.1543402118604419,155.70188467261903,492.00295588368584,0.074809163196728,0.6346726190476191,0.1917447934588059,RM_PM_PRIMARY
selection,ETS_A_N_A,6720,80,0.15367570901620425,155.0315192249438,417.98541318350647,0.10569120876174351,0.6974702380952381,0.20652131339707602,RM_PM_PRIMARY
selection,CONV1D_ATTENTION_GLOBAL,6720,80,0.26123868557401725,263.5434804610528,919.1113157755577,0.09812714253533344,0.6102678571428571,0.310302256841684,RM_PM_PRIMARY
selection,CROSTON_SBA,6720,80,0.22442052346259458,226.40048268132298,559.8100933343698,0.20454985604154843,0.8169642857142857,0.3266954514833688,RM_PM_PRIMARY
selection,EXTRA_TREES_RESPONSIVE,1344,16,0.12962308145064555,158.32003193824409,236.44686002698262,0.05888579140960782,0.5803571428571429,0.15906597715544946,FG_SECONDARY
selection,EXTRA_TREES,1344,16,0.13035558523954205,159.21470302579365,236.1487325292274,0.058383667375288495,0.5788690476190477,0.1595474189271863,FG_SECONDARY
selection,LIGHTGBM,1344,16,0.13592487880566387,166.01696945391885,248.73845281440194,0.05473756359529586,0.6183035714285714,0.1632936606033118,FG_SECONDARY
selection,EXTRA_TREES_DAMPED_TREND,1344,16,0.14971022104906764,182.85421633796474,260.79916496526755,0.04911567343095767,0.5543154761904762,0.17426805776454649,FG_SECONDARY
selection,ETS_A_N_A,1344,16,0.19678941617874146,240.35616424062096,353.59830379523487,0.09658119246614108,0.6592261904761905,0.245080012411812,FG_SECONDARY
selection,SEASONAL_NAIVE,1344,16,0.21257288300750363,259.6338958333333,377.3222375330763,0.06601601365895654,0.6287202380952381,0.2455808898369819,FG_SECONDARY
selection,MOVING_AVERAGE_3,1344,16,0.21427375467462026,261.71131949621156,359.0947974794499,0.08566512295413285,0.6428571428571429,0.25710631615168666,FG_SECONDARY
selection,CONV1D_ATTENTION_GLOBAL,1344,16,0.2189358068033631,267.40549122151873,386.24764114978285,0.09101310769127231,0.6331845238095238,0.2644423606489993,FG_SECONDARY
selection,CROSTON_SBA,1344,16,0.24500279248747694,299.24338703786583,406.9977997301253,0.19988260610922115,0.8043154761904762,0.3449440955420875,FG_SECONDARY
selection,EXTRA_TREES,8064,96,0.11713915631295718,122.32257105405765,313.9488311962145,0.06176060641839033,0.6001984126984127,0.14801945952215234,ALL_GLOBAL_SERIES
selection,EXTRA_TREES_RESPONSIVE,8064,96,0.11743235908008942,122.62874806134256,315.098920953694,0.06142193568531588,0.5946180555555556,0.14814332692274737,ALL_GLOBAL_SERIES
selection,EXTRA_TREES_DAMPED_TREND,8064,96,0.12752043500031307,133.16322195027382,327.9250110149105,0.05303114833433473,0.5758928571428571,0.15403600916748045,ALL_GLOBAL_SERIES
selection,LIGHTGBM,8064,96,0.13429145899169534,140.23386416218955,364.68105517064953,0.0691062875055905,0.6209077380952381,0.1688446027444906,ALL_GLOBAL_SERIES
