dataset,model,split,horizon,n_obs,WAPE,RMSE,Bias,MASE_mean,wQL50,under_forecast_rate
A,CATBOOST,test,3,1236.0,0.1221549817131783,5651.137132997019,-2088.6954049107953,1.0514319204008316,1886.2019413801352,0.6318770226537217
A,CATBOOST,test,4,1236.0,0.1246352095089701,5741.05101758524,-2223.9716678611003,1.069758354215151,1924.4992782376044,0.6545307443365695
A,CATBOOST,test,5,1236.0,0.1297003157025113,6017.969663999375,-2376.460121758121,1.1132382635150808,2002.7098677818472,0.639967637540453
A,CATBOOST,test,6,1236.0,0.106969778801071,4954.358626133994,-594.9193217354481,0.9854788739004344,1651.7263693537666,0.4838187702265372
A,CATBOOST,test,7,1236.0,0.112861461929325,5082.80780627589,24.925025560252788,1.0378904991557092,1742.7001798251451,0.43042071197411
A,CATBOOST,test,8,1236.0,0.1157056605165866,5011.535559929245,585.0732280129662,1.1519783750962682,1786.6176101396936,0.3762135922330097
A,CATBOOST,test,9,1236.0,0.1088309255180715,4998.099576104333,-926.3296842711612,0.9622735463267033,1680.4644404628302,0.517799352750809
A,CATBOOST,test,10,1236.0,0.1087218489440287,5097.3893497225645,-1221.648379673462,0.9488490056857812,1678.7801829496836,0.5558252427184466
A,CATBOOST,test,11,1236.0,0.1179100147280574,5371.898178794163,-1445.7395308961436,1.0477829601493274,1820.6551674693528,0.558252427184466
A,CATBOOST,test,12,1236.0,0.1219216742648602,5575.250168450332,-1736.3464136502023,1.0545238746916508,1882.5994279518304,0.5865695792880259
A,CATBOOST,val,0,7416.0,0.1239408282833433,5594.821796952699,-1734.3238729269524,1.063412263481791,1903.6479938345435,0.6014023732470335
A,CATBOOST,val,1,618.0,0.130493028296947,5913.534507169769,-2788.7972699495103,1.0657041938396876,2004.2853914044904,0.6909385113268608
A,CATBOOST,val,2,618.0,0.1361567725846742,6179.14708219255,-2839.479738229903,1.118389083060394,2091.276704922868,0.6990291262135923
A,CATBOOST,val,3,618.0,0.1361927133604076,6261.651778194876,-2773.2964834838517,1.1256798613270729,2091.828731132224,0.6747572815533981
A,CATBOOST,val,4,618.0,0.137470900969729,6351.665458656069,-2903.474210853639,1.1325377677907855,2111.460835515665,0.7119741100323624
A,CATBOOST,val,5,618.0,0.1397008423304675,6326.404317501647,-2833.492100812902,1.1605571762085698,2145.7112391682367,0.6828478964401294
A,CATBOOST,val,6,618.0,0.1117969670660039,4924.236021641381,-838.9269414344192,1.01989180593479,1717.12643056934,0.5032362459546925
A,CATBOOST,val,7,618.0,0.1107405658503747,4841.650396440128,371.1019161351429,1.0072019064858384,1700.9008164382212,0.4239482200647249
A,CATBOOST,val,8,618.0,0.1115774000035806,4711.297879905074,745.9624738302308,1.1162612407676018,1713.7540277567764,0.3964401294498382
A,CATBOOST,val,9,618.0,0.1112439838177869,4955.7066153549085,-1107.9414314069736,0.9595819581209972,1708.632978769213,0.5760517799352751
A,CATBOOST,val,10,618.0,0.1113041840430486,4950.425557983059,-1486.7983443537526,0.96464005978461,1709.5576138522215,0.6343042071197411
A,CATBOOST,val,11,618.0,0.1233419743468557,5432.574698507286,-1906.2880144644485,1.0483502680235803,1894.449999028599,0.5970873786407767
A,CATBOOST,val,12,618.0,0.1272706067302444,5867.936415608608,-2450.4563300994014,1.0421518404375665,1954.791157456668,0.6262135922330098
A,ETS,test,0,1236.0,0.1283093764943507,5949.9718923552355,-276.49045589969603,1.1221797827355988,1981.2322972564432,0.5169902912621359
A,ETS,test,1,103.0,0.1457264242106433,6226.465246141459,472.2635428007396,1.247888212139394,2204.639893916374,0.4757281553398058
A,ETS,test,2,103.0,0.1082443466145202,5016.838475111687,-638.603011107205,0.9679413939377935,1662.3604513005218,0.5533980582524272
A,ETS,test,3,103.0,0.1211590084230569,5349.037345441093,365.12661544969166,1.1642350289339587,1936.873787274146,0.4757281553398058
A,ETS,test,4,103.0,0.1337236094415176,6123.004057604192,-1242.0858405530885,1.0562134056449128,2036.2535427399805,0.5922330097087378
A,ETS,test,5,103.0,0.1243603716729706,5234.028087650914,120.58511549023734,1.042293350811179,1799.701040472508,0.4951456310679611
A,ETS,test,6,103.0,0.1299536265583409,5503.29289160595,-600.1622030433874,1.0836380618150374,1910.9750178117251,0.5145631067961165
A,ETS,test,7,103.0,0.1299056669032918,5710.515633348263,-714.1453799813262,1.0814374548083798,1936.5517028899185,0.5242718446601942
A,ETS,test,8,103.0,0.1431533866582,6552.096642605423,432.48282020822336,1.208695164908233,2157.7364037926422,0.4757281553398058
A,ETS,test,9,103.0,0.1205264468780226,5772.1210380744715,-457.79576710480814,1.1369359586048362,1896.2548754085544,0.5533980582524272
A,ETS,test,10,103.0,0.1261916844591979,6300.760574301243,66.36628174244947,1.0825582614544609,2022.892519645457,0.5339805825242718
A,ETS,test,11,103.0,0.1172983915601073,6634.027110402831,-812.3413587458635,1.184032121143018,2031.8433080138473,0.5436893203883495
A,ETS,test,12,103.0,0.1419293905992258,6673.570753231943,-309.57628595201425,1.2102889786259827,2178.7050238116467,0.4660194174757281
A,ETS,val,0,618.0,0.1297530603325722,5735.822387518213,-1109.0244166823195,1.1172939126333898,1992.9199797770664,0.5614886731391586
