Material Code,,Description,Supply Plan,,,,,Buffer days, future average ,lead time,lead time months,EX,variance (demand),Variance lead time demand,ROP,ROP in days,Buffer stock,,Maximum stock,Stacking quantity,MOQ,Difference,Order Delivery,Order Quantity,,Pallet requirement,Pallet requirement,,,Issuing,,,,,,
,,,Jul SP,Aug SP,Sep SP,Oct SP,Nov SP,,,,,,,,,,,Buffer Days,,,,,,,,,,,,,,,,,,
101413,Drum,BULK BC FRESH FLORAL COLOGNE - IMPORTED," 4,531 "," 4,345 "," 4,364 "," 6,807 "," 4,491 ", 30 ," 4,770 ",70,2.333333333," 11,129.41 ",1133610.449,2667.252684," 13,796.66 ", 86.78 ,3350.329591, 21.07 ," 5,735 ",800,2000," (2,770)", 15 ," 2,385 ", (385), 7.17 , 8 ,252.19,1446360.702,241,,,,,,
100403,Can,VIRGIN COCONUT OIL," 8,023 "," 3,232 "," 2,821 "," 3,396 "," 2,054 ", 30 ," 5,612 ",30,1," 5,612.34 ",5567146.54,3869.547433," 9,481.89 ", 50.68 ,4860.529092, 25.98 ," 5,796 ",672,500," (5,112)", 5 , 935 , (435), 8.62 , 9 ,728.8,4224065.822,576,,,,,,
101736,Drum,ECOSMOOTH SATIN," 2,505 ", 902 ," 1,677 "," 1,997 "," 1,277 ", 30 ," 1,623 ",90,3," 4,868.98 ",387185.8942,1767.519602," 6,636.50 ", 122.67 ,2220.177061, 41.04 ," 3,843 ",300,1000, (623), 30 ," 1,623 ", (623), 12.81 , 13 ,910,3497284.169,302,,,,,,
100110,Bags,TITANIUM DIOXIDE," 7,193 "," 4,887 "," 5,092 "," 5,031 "," 4,627 ", 30 ," 5,600 ",60,2," 11,199.22 ",1075292.158,2405.038789," 13,604.26 ", 72.89 ,3020.963357, 16.18 ," 8,021 ",1000,5000, (600), 15 ," 2,800 "," 2,200 ", 8.02 , 9 ,773.72,6205979.769,2679,,,,,,
101305,Reel,SOFT EDGE PE - WHITE OPAQUE 115mm (Only," 4,946 "," 1,898 "," 4,249 "," 3,492 "," 4,196 ", 30 ," 4,404 ",60,2," 8,808.09 ",1344025.842,2688.825731," 11,496.92 ", 78.32 ,3377.427442, 23.01 ," 7,781 ",750,2000," (2,404)", 30 ," 4,404 "," (2,404)", 10.38 , 11 ,531.49,4135774.769,78,,,,,,
101428,Reel,PREMIUM PE - PERFORATED 85mm TOP SHEET," 1,485 ", 541 ," 1,294 "," 1,152 "," 1,286 ", 30 ," 1,262 ",65,2.166666667," 2,733.46 ",130354.6697,871.5718515," 3,605.03 ", 85.73 ,1094.779277, 26.03 ," 2,356 ",216,500, (762), 30 ," 1,262 ", (762), 10.91 , 11 ,1369.69,3227501.82,41,,,,,,
100030,Bags,CORN STARCH," 1,057 "," 1,157 "," 4,259 "," 4,255 "," 4,255 ", 30 ," 1,134 ",35,1.166666667," 1,323.01 ",2976417.461,3056.076102," 4,379.09 ", 115.85 ,3838.729737, 101.55 ," 4,973 ",625,50," (1,084)", 30 ," 1,134 "," (1,084)", 7.96 , 8 ,96.04,477581.7252,265,,,,,,
100904,Box,HOT MELT ADHESIVE DMC 5228," 4,390 "," 1,692 "," 3,757 "," 3,097 "," 3,711 ", 30 ," 3,893 ",60,2," 7,786.07 ",1047484.136,2373.736857," 10,159.80 ", 78.29 ,2981.645076, 22.98 ," 6,875 ",700,2000," (1,893)", 30 ," 3,893 "," (1,893)", 9.82 , 10 ,508.37,3494880.431,58,,,,,,
101065,Drum,BC LUCKY DUCKY COL - BULK," 4,296 "," 3,756 "," 3,784 "," 3,756 "," 3,627 ", 30 ," 4,886 ",70,2.333333333," 11,400.61 ",67619.8059,651.4321683," 12,052.05 ", 74.00 ,818.2623577, 5.02 ," 4,818 ",800,4000, (886), 15 ," 4,000 ", -   , 6.02 , 7 ,302.6,1458006.189,209,,,,,,
101472,Reel,PRINTED PE POUCH 240mm - LIGHT PINK," 3,605 "," 1,442 "," 3,206 "," 2,462 "," 3,189 ", 30 ," 3,436 ",65,2.166666667," 7,445.34 ",729774.061,2062.215802," 9,507.55 ", 83.00 ,2590.344239, 22.61 ," 6,027 ",600,500," (2,936)", 30 ," 3,436 "," (2,936)", 10.04 , 11 ,637.93,3844583.717,52,,,,,,
